model,warmup,init,inference
mobile,1146.1,458794,1106.42
mobile,1169.83,453135,1155.42
mobile,1169.3,450081,1103.04
mobile,1200.75,452083,1307.21
mobile,1225.36,445955,1307.02
mobile,1133.53,451542,1097.17
mobile,1153.78,462631,1197.88
mobile,1204.04,429744,1306.23
mobile,1272.62,445151,1262.06
mobile,1132.38,442625,1124.97
neumf,2656.73,661419,2709.97
neumf,2723.33,736041,2816.08
neumf,2750.69,738043,2743.39
neumf,2744.77,703434,2733.28
neumf,2759.1,721417,2792.91
neumf,2721.66,713503,2798.98
neumf,2869.53,741566,2771.55
neumf,2885.76,739858,2722.79
neumf,2731.96,718291,2759.99
neumf,2858.67,718286,2652.56
ecam neumf,3205.7,1154000,3150.57
ecam neumf,3314.61,1169003,3110.18
ecam neumf,3290.88,1201817,3228.15
ecam neumf,3385.32,1210356,3097.02
