model,warmup,init,inference
mobile,33.6501,1879,32.3419
mobile,33.8675,1560,33.698
mobile,33.577,1820,33.0742
mobile,33.7604,1596,32.9302
mobile,34.1264,2462,32.5052
mobile,33.9137,1762,32.5885
mobile,33.5717,1484,32.9327
mobile,34.4687,2078,33.0515
mobile,32.9998,1515,32.1876
mobile,33.5736,1852,32.8869
neumf,47.7469,3239,45.9121
neumf,52.7049,1618,46.3803
neumf,47.3065,2135,45.7835
neumf,47.6255,2005,45.7957
neumf,47.0776,1916,45.6793
neumf,46.8638,2160,45.7196
neumf,47.0558,2014,45.4576
neumf,48.0597,1785,45.864
neumf,46.5809,1605,45.5697
neumf,45.9677,2933,45.5629
ecam neumf,53.6055,1927,53.9043
ecam neumf,53.5304,1889,51.7955
ecam neumf,54.4827,2007,52.0695
ecam neumf,53.7346,1909,52.0542
ecam neumf,53.7572,2010,51.8972
ecam neumf,53.4507,2359,51.8053
ecam neumf,53.7639,1911,52.0294
ecam neumf,54.7087,2050,52.5184
