model,warmup,init,inference
mobile,44.9712,2752,41.3192
mobile,44.771,612,41.8105
mobile,43.8729,584,41.5089
mobile,44.3079,601,41.8829
mobile,44.3054,570,42.3394
mobile,44.5044,601,41.8714
mobile,45.7992,578,43.5723
mobile,44.1668,575,42.2486
mobile,44.3496,572,42.4383
mobile,44.7745,593,41.6534
neumf,49.7617,3943,47.0514
neumf,54.0877,672,47.2098
neumf,50.2453,661,46.8681
neumf,50.0934,657,47.0259
neumf,49.6497,669,47.0717
neumf,50.6545,661,46.9889
neumf,49.379,662,47.0767
neumf,49.9837,671,47.0723
neumf,50.202,636,47.2024
neumf,51.8874,640,47.1776
ecam neumf,60.145,3565,57.7173
ecam neumf,60.8788,677,57.7655
ecam neumf,61.1189,690,57.6362
ecam neumf,61.366,655,57.6685
ecam neumf,61.0738,661,58.0546
ecam neumf,61.0252,652,57.6741
ecam neumf,61.6261,648,57.7618
ecam neumf,62.1677,636,57.8381
ecam neumf,60.4304,639,57.8037
ecam neumf,61.6775,652,57.7176
