model,warmup,init,inference
mobile,13.5744,1082,13.5379
mobile,13.5692,408,13.5621
mobile,13.6063,420,13.6336
mobile,13.3777,437,13.3319
mobile,13.4296,418,13.3557
mobile,77.16,863,77.1019
mobile,13.5976,418,13.5406
mobile,13.289,417,13.2653
mobile,13.4891,414,13.4585
mobile,13.3504,414,13.3085
neumf,16.6021,2341,16.5818
neumf,16.7384,444,16.6551
neumf,16.4363,450,16.4364
neumf,16.3796,451,16.307
neumf,16.6046,446,16.5279
neumf,16.3985,454,16.3097
neumf,16.6334,466,16.5537
neumf,16.8395,476,16.8436
neumf,16.5895,448,16.5023
neumf,16.7187,453,16.6637
ecam neumf,19.7301,462,19.6006
ecam neumf,19.7759,462,19.7012
ecam neumf,19.7542,465,19.7258
ecam neumf,19.7228,487,19.5278
ecam neumf,19.7326,467,19.6599
ecam neumf,19.6248,463,19.5507
ecam neumf,19.8854,447,19.7863
ecam neumf,19.7889,465,19.6661
ecam neumf,19.9342,462,19.8641
ecam neumf,19.7814,464,19.7085
